addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38,0,A01,A0101,A01011300,127480,12,20030905090000,,,,125.1125145360,34.0740166502,6,20230918102221,12,,가거도(소흑산도),58866
전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,0,A01,A0101,A01011200,126273,12,20031107090000,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image3_1.jpg,Type3,126.3547412438,34.4354594945,6,20230703110809,21,,가계해변,58911
경상남도 창원시 마산합포구 성호서7길 15-8,,36,0,A02,A0203,A02030100,2019720,12,20150721030848,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,Type3,128.5696552845,35.2077664004,6,20230412105954,16,,가고파 꼬부랑길 벽화마을,51281
강원특별자치도 삼척시 가곡면 탕곡리,509-3,32,,A02,A0202,A02020300,2994116,12,20230717155822,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,Type3,129.2062296318,37.1507494904,6,20230807093649,4,033-572-1800,가곡유황온천&스파,25954
경기도 양주시 장흥면 권율로 117,,31,0,A02,A0202,A02020600,129194,12,20060807090000,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,Type3,126.9497496852,37.7254519094,6,20231213141137,18,,가나아트파크,11520
경기도 여주시 가남읍 대명산길 98,,31,0,A02,A0202,A02020700,2777865,12,20211123182854,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,Type3,127.5349142281,37.2017093544,6,20230206130357,20,,가남체육공원,12662
부산광역시 강서구 천성동 308-2,,6,0,A01,A0101,A01011300,2715601,12,20210508004846,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image3_1.jpg,Type3,128.8169442487,35.0229638330,6,20230707163011,1,,가덕도,
부산광역시 강서구 외양포로 10,,6,0,A01,A0101,A01011600,129156,12,20060719090000,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image3_1.jpg,Type3,128.8295937487,35.0006471157,6,20231106095233,1,,가덕도 등대,46771
부산광역시 강서구 천성동,,6,0,A01,A0101,A01010400,2726843,12,20210723203306,,,,128.8216713782,35.0317518247,6,20221213093859,1,,가덕도 연대봉,
부산광역시 강서구 대항동 393-9,(대항동),6,0,A01,A0101,A01011900,2789460,12,20211208224227,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,Type3,128.8274685924,35.0133095493,6,20221207112658,1,,가덕도대항인공동굴,46771
부산광역시 강서구 대항동,162-1,6,,A02,A0205,A02050600,3015365,12,20230925164008,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image3_1.JPG,Type3,128.8310519246,35.0017831264,6,20230926105937,1,,가덕도외양포전망대,46771
경기 가평군 북면,,31,0,A01,A0101,A01010400,125462,12,20030331090000,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image3_1.jpg,Type3,127.5683098007,37.9202321907,6,20231109162251,1,,가덕산,"477-840,1"
경상남도 거제시 남부면 다대리,(남부면),36,0,A01,A0101,A01010400,127257,12,20031029090000,,,,128.6303346514,34.7410502933,6,20231004111551,1,,가라산,53322
경상북도 영천시 화산면 가래실로 364,,35,0,A02,A0201,A02010600,2753576,12,20211006184631,,,,128.8892738816,36.0328070074,6,20231012135334,15,,가래실 문화마을,38808
전라북도 부안군 변산면 새만금로 447-27,,37,0,A01,A0101,A01011400,2743285,12,20210910222116,,,,126.5314023248,35.7269248004,6,20231101134225,6,,가력도항,56343
강원특별자치도 홍천군 내촌면 와야리,,32,0,A01,A0101,A01010800,125658,12,20030806090000,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image3_1.jpg,Type3,128.1601919204,37.8328951114,7,20231117163615,16,,가령폭포,"250-863,3"
경기도 양평군 지평면 부일길 101,(지평면),31,0,A02,A0203,A02030100,1553085,12,20120216000046,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,Type3,127.6140193424,37.4517346633,6,20230217161904,19,,가루매마을,12544
경기도 포천시 이동면 장암리,,31,0,A01,A0101,A01010400,125463,12,20030725090000,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image3_1.jpg,Type3,127.4028046120,38.0433008935,6,20231107095627,29,,가리산(포천),11111
강원특별자치도 홍천군 두촌면 가리산길 260-9,(두촌면),32,0,A01,A0101,A01010400,125593,12,20030327090000,http://tong.visitkorea.or.kr/cms/resource/86/609386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/609386_image3_1.jpg,Type3,127.9566453426,37.8716589858,6,20231117175929,16,,가리산(홍천),25164
강원특별자치도 홍천군 두촌면 가리산길 426,(두촌면),32,0,A01,A0101,A01010600,126905,12,20030616090000,http://tong.visitkorea.or.kr/cms/resource/94/609394_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/609394_image3_1.jpg,Type3,127.9795073354,37.8656156746,6,20231117162733,16,,가리산자연휴양림,25164
강원특별자치도 정선군 정선읍 가리왕산로 707,"(가리왕산자연휴양림), 평창 진부면",32,0,A01,A0101,A01010400,127508,12,20031209090000,http://tong.visitkorea.or.kr/cms/resource/68/2987668_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/68/2987668_image3_1.png,Type1,128.5634777835,37.4618262980,6,20231122180232,11,,가리왕산,26119
강원특별자치도 정선군 북평면 중봉길 41-35,,32,,A02,A0203,A02030400,3068424,12,20231214095937,,,,128.6097538017,37.4742535268,6,20231214095956,11,033-560-3467,가리왕산케이블카,26100
전라남도 담양군 용면 용소길 261,,38,0,A01,A0101,A01010900,127423,12,20030925090000,http://tong.visitkorea.or.kr/cms/resource/35/3027135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3027135_image3_1.jpg,Type3,127.0227046757,35.4451873670,7,20231027175607,7,,가마골계곡,57300
전라남도 영광군 홍농읍 가마미로 355,,38,0,A01,A0101,A01011200,126289,12,20030707090000,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image3_1.jpg,Type3,126.4090769892,35.3997293920,6,20231010121433,16,,가마미해수욕장,57000
전라북도 부안군 상서면 청림리,,37,0,A01,A0101,A01010900,1625067,12,20120509010149,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image3_1.jpg,Type3,126.5979680020,35.6412495627,6,20231213105727,6,,가마소계곡,56343
제주특별자치도 제주시 한경면 청수서5길 63,,39,0,A01,A0101,A01010400,1884191,12,20140113184533,,,,126.2507039833,33.3059197039,6,20231210162114,4,,가마오름,63006
경기도 의왕시 양지편로 41-2,(청계동),31,0,A02,A0202,A02020700,2745573,12,20210915232109,,,,126.9956966089,37.3916915204,6,20231201101850,24,,가막들공원,16007
제주특별자치도 제주시 한경면 청수로 13-3,,39,0,A01,A0101,A01010400,1884202,12,20140113194252,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,Type3,126.2460707194,33.3209235283,6,20231122150552,4,064-728-2742,가메창(암메),63006
경상남도 진주시 명석면 관덕길 174,(명석면),36,0,A02,A0203,A02030100,128498,12,20050512090000,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,Type3,128.0324121006,35.2586565930,6,20230328111610,13,,가뫼골마을,52641
제주특별자치도 서귀포시 표선면 남조로 1487-73,,39,0,A01,A0101,A01010400,1884505,12,20140114192329,,,,126.6758204749,33.4019047149,6,20231208150559,3,,가문이오름(감은이오름),63622
경상남도 거제시 동부면 가배리,,36,0,A02,A0201,A02010200,127268,12,20040119090000,,,,128.5722052958,34.7817585943,6,20231004113802,1,,가배량성,53330
전라남도 진도군 조도면 가사도길 106,,38,0,A01,A0101,A01011300,578400,12,20080623192244,,,,126.0510003156,34.4789302819,6,20231208160845,21,,가사도,58953
전라남도 진도군 조도면 가사도돌목길,,38,0,A01,A0101,A01011600,129141,12,20060712090000,,,,126.0429125538,34.4611877004,6,20231205163727,21,,가사도 등대,58953
전라남도 완도군 약산면 해동리,,38,0,A01,A0101,A01011200,2615324,12,20190815012008,,,,126.9277952875,34.3698373475,6,20231210155713,18,,가사동백숲해변,59136
전라남도 완도군 약산면,,38,0,A01,A0101,A01011200,1916695,12,20140428232048,,,,126.9281702396,34.3704872810,6,20230705132330,18,,가사해수욕장,59136
충청북도 옥천군 안내면 안내회남로 671,,33,0,A02,A0201,A02010800,294369,12,20071126234108,,,,127.5973920906,36.4015885618,6,20231207162038,5,,가산사,29005
경상북도 칠곡군 가산면 가산로 891,,35,0,A02,A0203,A02030100,2629074,12,20191023014804,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,Type3,128.5978129850,36.0501079498,6,20230308140211,22,,가산산성마을,39853
전라남도 장성군 삼서면 영장로 2015,,38,0,A02,A0201,A02010700,1957336,12,20141017190007,,,,126.6931003984,35.2313226604,6,20231204175524,19,,가산서원,57256
경상남도 양산시 동면 가산리 799,,36,0,A02,A0202,A02020700,2784347,12,20211201193109,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,Type3,129.0178748959,35.2950648080,6,20230224113123,10,,가산수변공원,
경상북도 칠곡군 가산면 학하들안2길 105,,35,0,A01,A0101,A01010700,2633896,12,20191107222311,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,Type3,128.4850691574,36.0861545517,6,20230320195449,22,,가산수피아,39849
제주특별자치도 제주시 오라삼동,2848,39,0,A01,A0101,A01010400,1884521,12,20140114193335,,,,126.5038611983,33.4893700755,6,20231210161039,4,064-740-6001,가새기오름,63148
경상남도 거창군 북상면 송계로 731-42,(북상면),36,0,A02,A0201,A02010700,1578561,12,20120327013044,,,,127.8160339922,35.7788772875,6,20231206162739,2,,가선정,50102
충청북도 음성군 음성읍 가섭길 494,,33,0,A02,A0201,A02010800,294390,12,20071126235315,http://tong.visitkorea.or.kr/cms/resource/92/1075092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1075092_image3_1.jpg,Type3,127.7030557496,36.9666339700,6,20231209153343,6,,가섭사,27688
경상남도 거창군 위천면 상천리,산6-2번지,36,0,A02,A0201,A02010700,1579499,12,20120327035657,http://tong.visitkorea.or.kr/cms/resource/66/1611166_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1611166_image3_1.jpg,Type3,127.7941371179,35.7345485901,6,20231005171156,2,,가섭암지 마애여래삼존입상,50103
제주특별자치도 서귀포시 표선면 녹산로 554,,39,0,A01,A0101,A01010400,1885746,12,20140116182858,,,,126.7231832338,33.3931758821,6,20231110154814,3,,가세오름,63622
제주특별자치도 서귀포시 표선면 녹산로 464-78,,39,,A02,A0204,A02040400,3026711,12,20230920140339,http://tong.visitkorea.or.kr/cms/resource/95/3026695_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3026695_image3_1.jpg,Type3,126.7341100468,33.3939370848,6,20231027152437,3,,가시리국산화풍력발전단지,63622
제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,,39,0,A01,A0101,A01010400,1885754,12,20140116185151,,,,126.2500169782,33.2236315617,6,20231208161318,3,,가시오름,63507
경기도 용인시 처인구 포곡읍 가실리,212-1,31,,A02,A0203,A02030600,3023389,12,20231024111743,,,,127.1923454131,37.2933147810,6,20231024111814,23,,가실벚꽃길,17021
경상북도 칠곡군 왜관읍 가실1길 1,,35,0,A02,A0201,A02010900,2513971,12,20171102234940,http://tong.visitkorea.or.kr/cms/resource/86/2687486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2687486_image3_1.jpg,Type3,128.4049220662,35.9368172454,6,20230622133500,22,,가실성당,39912
부산광역시 부산진구 엄광로 118,(가야동),6,0,A01,A0101,A01010500,2788410,12,20211208022652,,,,129.0276891748,35.1483453258,6,20230911200610,7,,가야공원 / 가야산책공원,47389
경상남도 김해시 인제로 368,(삼방동),36,0,A02,A0202,A02020600,2714140,12,20210420194949,,,,128.9024609712,35.2582112598,6,20230808165425,4,,가야랜드,50811
경상북도 성주군 수륜면 성주가야산로 278,,35,,A02,A0205,A02050600,3030551,12,20231102144312,,,,128.1448181668,35.8026610502,6,20231102144321,10,,가야산 돌할매 신비의돌,40063
경상남도 합천군 가야면 가야산로 1783,,36,0,A03,A0302,A03022700,2414679,12,20160909231524,http://tong.visitkorea.or.kr/cms/resource/49/1963749_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/1963749_image3_1.jpg,Type3,128.0909093551,35.7911141625,6,20231107172432,21,,가야산 소리길,50200
경상북도 성주군 수륜면 가야산식물원길 49,,35,0,A01,A0101,A01010700,129212,12,20060828090000,http://tong.visitkorea.or.kr/cms/resource/99/2724199_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2724199_image3_1.jpg,Type3,128.1418573045,35.8031276100,6,20230802191834,10,,가야산 야생화식물원,40063
충청남도 서산시 해미면 산수리,,34,0,A01,A0101,A01010400,125822,12,20030930090000,http://tong.visitkorea.or.kr/cms/resource/00/1961100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1961100_image3_1.jpg,Type3,126.6091060355,36.7039864327,6,20231208172509,7,,가야산(서산),31961
경북 성주군 수륜면 백운리,일원,35,1,A01,A0101,A01010100,126023,12,20040225090000,,,,128.1418101673,35.8001779432,6,20230919164742,10,,가야산국립공원(백운동 지구),"719-892,1"
경상남도 합천군 가야산로 1200 가야산국립공원관리사무소,,36,1,A01,A0101,A01010100,126022,12,20040213090000,,,,128.1322257899,35.7675647985,6,20230925171450,21,,"가야산국립공원(홍류동,청량동지구)",50201
경상북도 성주군 수륜면 가야산식물원길 21,,35,0,A02,A0202,A02020700,2733515,12,20210813004227,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,Type3,128.1410602092,35.8010639410,6,20230821135454,10,,가야산역사신화테마관,40063
경상북도 성주군 가천면 동신로 28,,35,0,A02,A0203,A02030100,128481,12,20050510090000,,,,128.1029259647,35.8562319975,6,20231204160424,10,,가야산칠불봉 야생화마을,40062
경상남도 김해시 봉황동,,36,0,A02,A0203,A02030600,250121,12,20060728090000,,,,128.8725475322,35.2355465857,6,20231214155222,4,,가야의 거리,50918
전라남도 순천시 해룡면 농주리,230-10,38,,A01,A0101,A01010700,3013529,12,20230920174012,,,,127.5222504674,34.8619089390,6,20231116135322,11,,가야정원,58025
경상남도 양산시 원동면 용당들길 43-62,,36,0,A02,A0201,A02010700,1236556,12,20110321195941,,,,128.9023718710,35.3675378711,6,20230905112832,10,,가야진사,50586
경상북도 예천군 개포면 가곡리,(개포면),35,0,A02,A0202,A02020700,128132,12,20040510090000,,,,128.3508189720,36.6118727137,6,20231110155505,16,,가오실공원,36844
경상남도 통영시 도산면 도산일주로 542-55,,36,0,A01,A0101,A01011400,2785625,12,20211203190937,,,,128.3126940017,34.9087814182,6,20230915155720,17,,가오치선착장,53004
전라북도 남원시 운봉읍 비전길 7,,37,0,A02,A0201,A02010500,2788127,12,20211208012601,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,Type3,127.5626899062,35.4575758647,6,20230921142128,4,,가왕 송흥록 박초월 생가(송홍록생가),55717
전라남도 강진군 도암면 월곶로 473,(도암면),38,0,A01,A0101,A01011300,2024432,12,20150820235050,,,,126.7726522891,34.5283725869,6,20230905150518,1,,가우도,59251
전라남도 강진군 가우도길 2-87,,38,,A02,A0203,A02030400,3006493,12,20230816182305,http://tong.visitkorea.or.kr/cms/resource/73/3006473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3006473_image3_1.jpg,Type3,126.7847455361,34.5339749368,6,20230905190618,1,,가우도 모노레일,59251
전라남도 강진군 도암면 신기리,,38,0,A02,A0205,A02050100,2514003,12,20171103004852,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image3_1.jpg,Type3,126.7717356912,34.5288669609,6,20230512181244,1,,가우도 출렁다리,59251
강원특별자치도 동해시 지가동 77-6,,32,0,A01,A0101,A01010500,2714889,12,20210429222624,,,,129.1070564038,37.4736521046,6,20230703185915,3,,가원습지 생태자연공원,
경기도 파주시 적성면 달빛길 345,,31,0,A02,A0201,A02010700,2569494,12,20181125002330,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image3_1.jpg,Type3,126.9042297694,37.9841931357,6,20230324135034,27,,가월리 · 주월리 구석기 유적,10802
충청남도 태안군 근흥면 가의도길,,34,0,A01,A0101,A01011300,125848,12,20030619090000,,,,126.0749440746,36.6730836379,6,20231206151353,14,,가의도,32133
전라북도 순창군 복흥면 하리길 160,(복흥면),37,0,A02,A0201,A02010500,2357441,12,20161229221055,http://tong.visitkorea.or.kr/cms/resource/00/2357300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2357300_image2_1.jpg,Type3,126.9774224423,35.4505693165,6,20231122165636,7,,가인 김병로 생가터,56002
전라북도 남원시 운봉읍 가장길 4,,37,0,A02,A0203,A02030100,2793231,12,20211213232419,http://tong.visitkorea.or.kr/cms/resource/92/2800792_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2800792_image2_1.jpg,Type3,127.5179339854,35.4101221138,6,20231018175745,4,,가장마을,55720
전라남도 곡성군 고달면 가정마을길 120,(고달면),38,0,A02,A0203,A02030100,128427,12,20050422090000,,,,127.3712766775,35.2263181024,6,20230516120040,3,,가정녹색농촌체험마을,57547
충청남도 태안군 이원면 포지리,,34,,A01,A0101,A01010400,3034222,12,20231108135944,http://tong.visitkorea.or.kr/cms/resource/09/3034209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3034209_image3_1.jpg,Type3,126.2905250464,36.8646346339,6,20231108135959,14,,가제산,32103
경상남도 거창군 가조면 온천길 161,,36,0,A02,A0202,A02020300,127956,12,20040127090000,http://tong.visitkorea.or.kr/cms/resource/50/2042650_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2042650_image3_1.jpg,Type3,128.0229317531,35.6985345364,6,20230711165237,2,,가조 백두산천지온천,50118
경상남도 거제시 사등면 가조로 1298,,36,0,A01,A0101,A01011300,2754985,12,20211008194419,http://tong.visitkorea.or.kr/cms/resource/13/2755213_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2755213_image2_1.jpg,Type3,128.5206884618,34.9577018859,6,20230131100502,1,,가조도,53273
경상남도 거제시 사등면 가조로2길 62,,36,0,A01,A0101,A01011400,2754996,12,20211008194839,http://tong.visitkorea.or.kr/cms/resource/24/2755224_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2755224_image2_1.jpg,Type3,128.5261915327,34.9285746891,6,20231016105937,1,,가조도선착장,53273
강원특별자치도 인제군 인제읍 하추로 187,,32,0,A02,A0203,A02030100,2664758,12,20200723193131,http://tong.visitkorea.or.kr/cms/resource/24/2633024_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/24/2633024_image2_1.bmp,Type3,128.2814141316,38.0198812510,6,20231018154602,10,,가족올래 하추리마을,24642
경상남도 밀양시 산내면 얼음골로 177,,36,0,A01,A0101,A01010900,2699943,12,20201221181230,http://tong.visitkorea.or.kr/cms/resource/33/2699933_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/33/2699933_image2_1.JPG,Type3,128.9819618018,35.5803542935,6,20230627154511,7,,가지산 쇠점골계곡,50415
경상남도 밀양시 산내면,",경상북도 청도군 운문면, 울산광역시 울주군 상북면",36,0,A01,A0101,A01010200,126027,12,20031028090000,,,,128.9804563782,35.5803348234,6,20231005104519,7,,가지산도립공원(밀양),"627-830,1"
강원특별자치도 고성군 죽왕면 가진해변길 121-12,,32,0,A01,A0101,A01011400,2514820,12,20171110233221,,,,128.5133183548,38.3682229327,6,20230703202421,2,,가진항,24744
강원특별자치도 고성군 죽왕면 가진리 495-6,,32,0,A01,A0101,A01011200,126785,12,20030710090000,,,,128.4546324706,38.4428575247,6,20230921144418,2,,가진해변,
대구광역시 달성군 가창면 가창로 1099,(가창면),4,0,A02,A0203,A02030600,2034446,12,20151021001307,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image3_1.jpg,Type3,128.6222232980,35.8027142041,6,20231026155741,3,,가창 찐빵 골목,42933
경남 남해군 남면 홍현리 남면로 679번길 21,,36,0,B02,B0201,B02011000,127778,12,20040129090000,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg,Type3,127.8943963083,34.7279803963,6,20230630130712,5,,가천 다랭이마을,"668-861,21"
경남 하동군 화개면 탑리,,36,0,A02,A0203,A02030100,2785941,12,20211206190608,http://tong.visitkorea.or.kr/cms/resource/42/2788042_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2788042_image2_1.jpg,Type3,127.6380178715,35.1951401371,6,20231207160029,18,,가탄마을,52303
전라남도 목포시 산정동,90-1,38,,A02,A0201,A02010900,3006131,12,20230831163328,,,,126.3857937169,34.7996301851,6,20230831163347,8,,가톨릭 목포 성지,58712
제주특별자치도 서귀포시 대정읍 가파로,,39,0,A01,A0101,A01011300,126446,12,20030909090000,,,,126.2735884192,33.1664326869,6,20230315143308,3,,가파도,63514
충청남도 청양군 대치면 가파로 506-6,,34,0,A02,A0203,A02030100,128418,12,20070914090000,http://tong.visitkorea.or.kr/cms/resource/20/2629520_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/20/2629520_image2_1.bmp,Type3,126.8796427201,36.4976315311,6,20230802192220,13,,가파마을,33341
경기도 가평군 가평읍 용추로 238,,31,0,A02,A0203,A02030100,630461,12,20081001023346,http://tong.visitkorea.or.kr/cms/resource/10/2795310_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2795310_image2_1.jpg,Type3,127.4877442849,37.8475697154,6,20230823151418,1,,가평 아홉마지기마을,12408
경기도 가평군 북면 백둔로 417-11,,31,0,A02,A0203,A02030100,129285,12,20061031090000,http://tong.visitkorea.or.kr/cms/resource/76/532876_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/532876_image3_1.jpg,Type3,127.4623783495,37.9014407526,6,20231011103643,1,,가평 연인산마을,12406
경기도 가평군 상면,,31,0,A01,A0102,A01020100,1200950,12,20110210213947,,,,127.3487111543,37.7990672488,6,20231025121131,1,,가평 연하리향나무,12444
경기도 가평군 상면 축령로 70,,31,0,A02,A0203,A02030100,129407,12,20061213090000,http://tong.visitkorea.or.kr/cms/resource/35/2364435_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2364435_image3_1.jpg,Type3,127.3645382139,37.7741593259,6,20230331131946,1,,가평 영양잣마을,12448
경기도 가평군 가평읍 호반로 2540,,31,0,A02,A0205,A02050200,1104176,12,20101006023757,http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg,Type3,127.5157483134,37.8126354086,6,20230802194510,1,,가평 현충탑,12422
경기도 가평군 가평읍 경춘로 2045-65,,31,0,A02,A0204,A02040800,1200751,12,20110210194837,,,,127.4980942715,37.8158569298,6,20231024110437,1,,가평군목공예영농조합,12424
경기도 가평군 설악면 방일리,,31,0,A02,A0201,A02010700,1201082,12,20110210225513,,,,127.4915450327,37.6196823854,6,20231025122008,1,,가평별묘,12472
경기도 가평군 가평읍 문화로 131,,31,0,A02,A0205,A02050200,1283850,12,20110520231515,,,,127.5057710373,37.8265224976,6,20231024153858,1,,가평학도의용대참전비,12416
경기도 가평군 가평읍 향교로 23-1,,31,0,A02,A0201,A02010700,921096,12,20100113183142,http://tong.visitkorea.or.kr/cms/resource/19/1090919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1090919_image3_1.jpg,Type3,127.5074902248,37.8299471303,6,20231024105422,1,,가평향교,12417
경상남도 창원시 마산합포구 가포본동7길 11-13,(가포동),36,0,A02,A0202,A02020700,2783808,12,20211130231853,http://tong.visitkorea.or.kr/cms/resource/30/2799930_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/2799930_image2_1.JPG,Type3,128.5842831951,35.1552892222,6,20230621145451,16,,가포수변공원,51755
경상남도 창원시 마산합포구 드림베이대로 361,,36,,A02,A0202,A02020700,2864214,12,20221006104642,http://tong.visitkorea.or.kr/cms/resource/85/2864185_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2864185_image3_1.JPG,Type3,128.5901742863,35.1575501862,6,20230207102504,16,,가포해안변공원,51755
경기도 광명시 가학동,,31,0,A02,A0201,A02010700,736597,12,20090520194046,http://tong.visitkorea.or.kr/cms/resource/67/734367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/734367_image3_1.jpg,Type3,126.8568365465,37.4085426445,6,20230912095204,4,,가학동지석묘,14339
전남 완도군 소안면 미라리,,38,0,A01,A0101,A01010400,799819,12,20090908230442,http://tong.visitkorea.or.kr/cms/resource/75/786375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/786375_image3_1.jpg,Type3,126.6593100914,34.1522183506,6,20231122172332,18,,가학산,"537-831,1"
경상남도 진주시 이반성면 용암길 59-2,,36,0,A02,A0201,A02010700,1959464,12,20141023195955,http://tong.visitkorea.or.kr/cms/resource/23/3040823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3040823_image3_1.jpg,Type3,128.3325771223,35.1664473205,6,20231116095352,13,,가호서원,52614
서울특별시 종로구 북촌로 57,(가회동),1,0,A02,A0201,A02010900,2733967,12,20210817184103,http://tong.visitkorea.or.kr/cms/resource/61/2780561_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/61/2780561_image2_1.png,Type3,126.9846616856,37.5820858828,6,20230927142425,23,,가회동성당,03052
