addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
경상남도 하동군 화개로 13,,36,,B02,B0201,B02010900,2950408,32,20230217152211,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image3_1.jpg,Type1,127.6231054334,35.1897988120,6,20230912142129,18,010-3889-6663,가비원모텔[한국관광 품질인증/Korea Quality],52303
경기도 양평군 용문면 용문산로 337,,31,,B02,B0201,B02010700,942523,32,20100202215734,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image3_1.jpg,Type3,127.6019460659,37.5258897391,6,20230906160453,19,031-771-5180,가시버시펜션,12510
경상북도 성주군 수륜면 가야산식물원길 52,,35,,B02,B0201,B02010100,136485,32,20030612090000,,,,128.1426627919,35.8030359683,6,20231010131055,10,054-931-3500,가야호텔,40063
충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,,B02,B0201,B02011600,2707444,32,20210227005520,http://tong.visitkorea.or.kr/cms/resource/83/2706983_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2706983_image3_1.jpg,Type3,127.4055417589,36.7351218825,,20231214164642,10,043-233-9966,가영당,28105
전라북도 전주시 완산구 한지길 68-13,(풍남동3가),37,,B02,B0201,B02011600,2593271,32,20190325231742,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,Type3,127.1532917977,35.8170640681,,20230424164942,12,010-6345-5267,가은채,55041
전라북도 전주시 완산구 한지길 100-20,,37,,B02,B0201,B02011600,2593272,32,20190325233553,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,Type3,127.1535195942,35.8155697973,6,20230221102903,12,010-6345-5267,가은채2,55041
강원특별자치도 평창군 봉평면 흥정계곡길 72,,32,,B02,B0201,B02010700,2376711,32,20160406222558,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,Type3,128.3519002081,37.6272975840,6,20230702181506,15,010-5213-3200,가을동화펜션,25300
강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,,32,,B02,B0201,B02010700,2708335,32,20210309011514,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image3_1.jpg,Type3,128.3109751158,37.6609429108,,20230702183628,15,033-336-3357,가재와곰펜션,25300
경상남도 남해군 삼동면 죽방로 495,,36,,B02,B0201,B02010700,1351349,32,20110805005937,,,,127.9675765215,34.8169300517,6,20230524170059,5,055-867-4892,가족사랑바다체험펜션,52443
경기도 가평군 북면 가화로 2369-19,,31,,B02,B0201,B02010900,1979670,32,20141226184946,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,Type3,127.4766116592,37.9524878464,6,20230824113015,1,031-581-2256~7,가평 하이랜드,12401
경기도 가평군 가화로 1364-59,,31,,B02,B0201,B02010700,2814152,32,20220318103837,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,Type3,127.5134792182,37.9023138180,6,20230601113138,1,,가평미라몬티풀빌라펜션[한국관광 품질인증/Korea Quality],12405
경상남도 고성군 고성읍 이당5길 149-21,,36,,B02,B0201,B02010700,2579457,32,20181218194310,,,,128.2677822725,34.9758092205,6,20231215172454,3,010-2779-2212,갈모봉 힐링스테이,52933
강원특별자치도 영월군 영월읍 선돌길 83-9,,32,,B02,B0201,B02010700,1122064,32,20101103220629,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg,Type3,128.4347977723,37.1788536889,6,20230919145627,8,033-373-1139,강가에 하얀집 펜션,26226
강원특별자치도 홍천군 북방면 굴지강변로 281,,32,,B02,B0201,B02010700,940259,32,20100128000815,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image3_1.jpg,Type3,127.7832358849,37.6915933201,6,20231031133613,16,033-433-8309,강가의성,25116
강원특별자치도 정선군 북평면 졸드루길 31-57,,32,,B02,B0201,B02010700,2398168,32,20160809225223,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image3_1.jpg,Type3,128.6366687230,37.4518927338,6,20230702185437,11,010-3757-1147,강과 소나무[한국관광 품질인증/Korea Quality],26100
경상남도 통영시 동충4길 56,,36,,B02,B0201,B02011100,2575011,32,20181207220915,,,,128.4241610409,34.8418797816,6,20221102140910,17,010-9287-8001,강구안게스트하우스,53054
서울특별시 강남구 테헤란로13길 65,"(역삼동)1, 2층",1,,B02,B0201,B02011100,2574118,32,20181206010516,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,Type3,127.0301236613,37.5034291706,,20191014191736,1,010-2746-7882,강남스테이힐(Gangnam Stay Hill),06127
서울특별시 서초구 서초대로74길 49,(서초동)강남아르누보씨티호텔,,,B02,B0201,B02010100,2650614,32,20200328004421,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,Type3,127.0282157821,37.4934858463,,20231101140131,,02-580-7300/7400,강남아르누보씨티호텔,06626
전라북도 전주시 완산구 태조로 26-24,(풍남동3가),37,,B02,B0201,B02011600,2570638,32,20181128230659,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,Type3,127.1519253061,35.8150087222,,20211215230944,12,,강령전,55042
강릉시 해안로621번길 12 (안현동),,32,,B02,B0201,B02010700,2913612,32,20221107190841,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image3_1.jpg,Type3,128.8980175220,37.8118978545,6,20230610124952,1,,강릉 로뎀나무 펜션,25459
강원특별자치도 강릉시 교동광장로100번길 19,,32,,B02,B0201,B02010100,2903046,32,20221109140310,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image3_1.jpg,Type1,128.8762486624,37.7666443332,6,20230702184031,1,033-645-5511,강릉 부띠끄호텔 봄봄[한국관광 품질인증/Korea Quality],25512
강원특별자치도 강릉시 사천면 해안로 904-22,,32,,B02,B0201,B02011000,2626916,32,20191018183952,,,,128.8758521976,37.8330588607,,20230702184335,1,010-3348-4912,강릉 지중해펜션,25440
강원특별자치도 강릉시 용지각길 19,(포남동),32,,B02,B0201,B02010900,2398102,32,20160809192447,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image3_1.jpg,Type1,128.9056239515,37.7615677151,6,20231207154307,1,010-5919-0050,강릉ing게스트하우스[한국관광 품질인증/Korea Quality],25548
강원특별자치도 강릉시 경강로2103번길 17,(임당동),32,,B02,B0201,B02011100,2038173,32,20151105191608,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image3_1.jpg,Type3,128.8954528054,37.7564042254,6,20230702184342,1,010-9299-7199,강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality],25532
강원특별자치도 강릉시 운정길 63 선교장,,32,,B02,B0201,B02011600,1989501,32,20150226011900,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image3_1.jpg,Type3,128.8848528574,37.7855756438,6,20230702183429,1,033-648-5311,강릉선교장[한국관광 품질인증/Korea Quality],25464
강원특별자치도 강릉시 주문진읍 동해대로 4940,(주문진읍),32,,A03,A0302,A03020200,587289,32,20080716232404,http://tong.visitkorea.or.kr/cms/resource/94/598094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/598094_image3_1.jpg,Type3,128.8123942726,37.9149286939,6,20230702181152,1,033-662-0911,강릉시 청소년 해양수련원,25404
강원특별자치도 강릉시 죽헌길 114,"(죽헌동) 114,116",32,,B02,B0201,B02011600,2531222,32,20180111220743,http://tong.visitkorea.or.kr/cms/resource/51/3067851_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3067851_image3_1.jpg,Type1,128.8795480296,37.7775042522,6,20231218150420,1,033-655-1117,강릉오죽한옥마을[한국관광 품질인증/Korea Quality],25465
강원특별자치도 인제군 인제읍 내린천로 5384,,32,,B02,B0201,B02010700,138547,32,20050706090000,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image3_1.jpg,Type3,128.2720847253,38.0100072208,6,20230702113142,10,033-462-0629,강변에서 황토콘도,24642
강원특별자치도 홍천군 북방면 노일로310번길 15,,32,,B02,B0201,B02010700,678537,32,20090113204631,http://tong.visitkorea.or.kr/cms/resource/73/680173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/680173_image3_1.jpg,Type3,127.7311991032,37.6861096552,6,20230702112303,16,010-2679-3536,강변의수채화 펜션,25111
강원특별자치도 평창군 봉평면 흥정계곡1길 23,(흥정리),32,,B02,B0201,B02010700,2760767,32,20211021220931,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,Type3,128.3483697556,37.6344716865,6,20230702184753,15,,강애산애펜션,25300
경상북도 문경시 마성면 구랑로 333,,35,,B02,B0201,B02010700,2568981,32,20181123001731,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,Type3,128.1204936198,36.6628987224,,20190902194944,7,010-5287-3375,강이 있는 풍경 (강이 있는 풍경 펜션),36923
강원특별자치도 정선군 정선읍 군언길 129,,32,,B02,B0201,B02010700,137913,32,20040722090000,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image3_1.jpg,Type3,128.6109401719,37.3697517144,6,20231116172744,11,033-563-7979,강이흐르는마을 펜션,26133
전라남도 강진군 성전면 달빛한옥길 2,,38,,B02,B0201,B02011600,2679619,32,20201029221458,http://tong.visitkorea.or.kr/cms/resource/09/2679609_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2679609_image3_1.jpg,Type3,126.7166521168,34.7386425006,6,20220527100936,1,,강진달빛한옥마을,59200
전라북도 순창군 팔덕면 강천산길 85,,37,,B02,B0201,B02010900,136962,32,20021125090000,,,,127.0688154117,35.4086478499,6,20231109215141,7,063-652-9930,강천각모텔,56020
강원특별자치도 춘천시 남산면 강촌로 80-1,,32,,B02,B0201,B02010700,139190,32,20070912090000,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG,Type3,127.6345597418,37.8118376994,6,20230702181324,13,033-261-0051,강촌 느티나무마을펜션,24465
강원특별자치도 춘천시 남산면 강촌로 143,,32,,B02,B0201,B02010700,1802452,32,20130401184652,,,,127.6372818657,37.8067688951,6,20231006164510,13,010-9272-5679,강촌w펜션,24465
강원특별자치도 춘천시 남산면 강촌로 250,,32,,B02,B0201,B02010700,2913427,32,20221107185933,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image3_1.jpg,Type3,127.6393291693,37.7976922103,6,20230702183436,13,,강촌잠빌펜션,24465
전라남도 보성군 가내길 31-1,,38,,B02,B0201,B02011600,2814166,32,20220318161927,http://tong.visitkorea.or.kr/cms/resource/11/3008911_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3008911_image3_1.jpg,Type1,127.2043734140,34.9492242389,6,20230911200551,10,010-9220-5904,강현재[한국관광 품질인증/Korea Quality],59400
인천광역시 강화군 내가면 해안서로 972,,2,,B02,B0201,B02010600,136605,32,20031222090000,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image3_1.jpg,Type3,126.3745584698,37.7045385779,6,20230830172354,1,032-933-8891,강화유스호스텔,23054
인천광역시 강화군 송해면 상도숭뢰길 183,,2,,B02,B0201,B02010900,2521964,32,20171213190249,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG,Type3,126.4771467709,37.7866919073,6,20230524172521,1,"032-930-7058, 7062",강화평화빌리지,23020
경상남도 김해시 대동면 대동로 536-15,,36,,B02,B0201,B02010700,2604455,32,20190531024506,http://tong.visitkorea.or.kr/cms/resource/72/2604472_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2604472_image2_1.jpg,Type3,128.9738301635,35.2430337205,6,20230314111829,4,055-339-7486,개리비안비치펜션,50809
강원특별자치도 평창군 봉평면 흥정계곡3길 70,(흥정리),32,,B02,B0201,B02010700,2761333,32,20211022223031,http://tong.visitkorea.or.kr/cms/resource/60/2764860_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2764860_image2_1.jpg,Type3,128.3292516392,37.6477364536,6,20230702184214,15,,개여울,25300
경기도 양평군 서종면 황순원로 103,,31,,B02,B0201,B02010700,913186,32,20100105224935,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image3_1.jpg,Type3,127.3780504440,37.5971718095,6,20230822165923,19,031-774-4226,개울가펜션,12504
전라남도 해남군 옥천면 도림길 81,,38,,B02,B0201,B02011600,2574326,32,20181206184231,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg,Type3,126.6616456733,34.5159721453,,20221227153738,23,010-9626-5848,개울한옥민박,59022
경상남도 창원시 진해구 충장로445번길 5,(이동),36,,B02,B0201,B02011100,2569612,32,20181126200402,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG,Type3,128.6987178062,35.1495308342,,20200423190333,16,010-3178-7901,갤러리 마중(GALLERY MAJUNG),51663
강원특별자치도 인제군 기린면 설피밭길 661,,32,,B02,B0201,B02010700,139867,32,20070808090000,http://tong.visitkorea.or.kr/cms/resource/43/2944043_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2944043_image3_1.JPG,Type3,128.4726878934,38.0375689808,6,20230702184433,10,033-463-1209,갤러리&펜션 풍경소리,24653
강원특별자치도 화천군 화천읍 중앙로2길 31-10,,32,,B02,B0201,B02010900,628541,32,20080925233519,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image3_1.jpg,Type3,127.7045446926,38.1034772614,6,20230702112150,17,033-441-7999,갤러리하우스모텔,24129
강원특별자치도 정선군 사북읍 소금강로 3489,,32,,B02,B0201,B02010900,139224,32,20070212090000,http://tong.visitkorea.or.kr/cms/resource/20/207320_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/207320_image3_1.jpg,Type3,128.8420903297,37.2294806274,6,20230702183055,11,033-592-9923,갤럭시 모텔,26150
경상북도 포항시 북구 해안로 93,,35,,B02,B0201,B02010100,2004586,32,20150520182929,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg,Type3,129.3778357821,36.0572107071,6,20231211121752,23,054-251-9988,갤럭시관광호텔,37708
경상남도 통영시 산양읍 논아랫개길 134-51,,36,,B02,B0201,B02010700,2575042,32,20181207224131,,,,128.4326896463,34.7820505106,,20230412194613,17,,갯내음 펜션,53086
경상남도 통영시 용남면 견유1길 175,,36,,B02,B0201,B02010700,590873,32,20080721183843,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image3_1.jpg,Type3,128.4742332018,34.8895753425,6,20231023144346,17,010-4850-5230,갯바위펜션,53024
충청남도 태안군 남면 진산1길 195-14,,34,,B02,B0201,B02010700,945148,32,20100204203618,,,,126.2729252076,36.7086440078,6,20221229155353,14,041-675-1262,갯벌부흥펜션,32151
전라남도 해남군 민박촌길 63 거목민박,,38,,B02,B0201,B02011600,2593235,32,20190325185804,http://tong.visitkorea.or.kr/cms/resource/63/3021963_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3021963_image3_1.jpg,Type1,126.6067506789,34.5084470868,6,20231026134255,23,061-535-1456,거목장민박,59047
경상남도 거제시 남부면 거제대로 283,,36,,B02,B0201,B02010600,397642,32,20080124002340,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image3_1.jpg,Type3,128.6384673539,34.7381729828,6,20231117172700,1,055-632-7977,거제 썬트리팜리조트,53334
경상남도 거제시 거제중앙로 1898-5,,36,,B02,B0201,B02010100,142984,32,20031223090000,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image3_1.jpg,Type3,128.6239840921,34.8880476491,6,20230704165223,1,055-632-7002,거제관광호텔,53251
경상남도 거제시 장목면 거제북로 2738-1,,36,,B02,B0201,B02010700,1855463,32,20131102014252,,,,128.6931334899,34.9974616592,6,20231215174108,1,055-634-4900,거제더비치펜션,53201
경상남도 거제시 일운면 북병산로 460,,36,,B02,B0201,B02010700,138703,32,20060216090000,http://tong.visitkorea.or.kr/cms/resource/64/1981364_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1981364_image3_1.jpg,Type3,128.6739454941,34.8179980439,6,20230316160040,1,010-6420-6628,거제도 펜션팔색조,53329
경상남도 거제시 일운면 거제대로 1988-10,,36,,B02,B0201,B02010700,139689,32,20070517090000,http://tong.visitkorea.or.kr/cms/resource/73/2436173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2436173_image2_1.jpg,Type3,128.6835031689,34.8115239389,6,20230321170928,1,010-9239-6343,거제도섬마을펜션,53329
경상남도 거제시 거제면 두동로 259-80,,36,,B02,B0201,B02010500,2578477,32,20181215021626,,,,128.5906455117,34.8810839383,6,20221226111803,1,055-639-2222,거제뷰골프텔,53284
경상남도 거제시 장평3로 80-37,,36,,B02,B0201,B02010100,143125,32,20060207090000,http://tong.visitkorea.or.kr/cms/resource/78/1609978_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1609978_image3_1.jpg,Type3,128.6123460004,34.8961937511,6,20231023164617,1,055-631-2114,거제삼성호텔,53261
경상남도 거제시 옥포로2길 13,,36,,B02,B0201,B02010100,2578490,32,20181215022524,,,,128.6961694066,34.8907680926,6,20231024140130,1,055-730-9600,거제오션호텔,53231
서울특별시 마포구 동교로47길 3,(연남동) 201호,1,,B02,B0201,B02011100,2572777,32,20181204190832,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,Type3,126.9248537833,37.5632120044,,20200423190738,13,010-5155-9995,게더링 앳 홍대1(게더링앳홍대),03983
서울특별시 마포구 동교로47길 3,(연남동) 301호,1,,B02,B0201,B02011100,2572779,32,20181204190832,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,Type3,126.9248537833,37.5632120044,,20200423190840,13,010-5155-9995,게더링 앳 홍대2(게더링앳홍대),03983
광주광역시 동구 구성로194번길 19,(대인동),5,,B02,B0201,B02011100,2664520,32,20200722182145,,,,126.9157104541,35.1519909306,6,20231218104158,3,0504-4016-3534,게스트145,61473
경상북도 안동시 금곡길 21-8,(금곡동),35,,B02,B0201,B02011100,2569003,32,20181123004441,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg,Type3,128.7215095058,36.5672736337,,20221227125822,11,010-3538-0785,게스트하우스 play at home(플레이앳홈),36690
서울특별시 마포구 독막로7길 19,(서교동),1,,B02,B0201,B02011100,2574220,32,20181206020522,http://tong.visitkorea.or.kr/cms/resource/07/2573607_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/2573607_image2_1.JPG,Type3,126.9187769621,37.5489302228,,20200423192027,13,010-5417-1977,게스트하우스 류가(Guest House Ryuga),04047
경상남도 창원시 마산합포구 동서북14길 24,4층 (동성동),36,,B02,B0201,B02011100,2600730,32,20190503235230,,,,128.5735799046,35.2091496495,,20200325005759,16,070-8822-2081,게스트하우스 리좀,51729
전라북도 군산시 월명로 516-1,(신흥동),37,,B02,B0201,B02011100,2569871,32,20181127005828,,,,126.7047940872,35.9858398862,,20201221184944,2,,게스트하우스 소설여행,54020
전라북도 군산시 구영2길 25,,37,,B02,B0201,B02011100,2594149,32,20190401233822,http://tong.visitkorea.or.kr/cms/resource/12/2652012_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2652012_image2_1.jpg,Type3,126.7089658538,35.9890284828,6,20230413100457,2,010-8098-2202,게스트하우스 여정,54021
경상남도 통영시 항남1길 18,(항남동),36,,B02,B0201,B02011100,2575102,32,20181207225837,,,,128.4232944464,34.8420186395,6,20231115164459,17,010-4842-0077,게스트하우스 위드,53054
서울특별시 강남구 압구정로34길 33,"(신사동,현대맨션) 22-2-2",1,,B02,B0201,B02011100,2607620,32,20190621194135,,,,127.0309007260,37.5261154387,,20200325013420,1,010-8282-3580,게스트하우스강남,06023
전라북도 군산시 구영2길 25,(영화동),37,,B02,B0201,B02011100,2575689,32,20181210200444,http://tong.visitkorea.or.kr/cms/resource/43/2575343_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2575343_image2_1.jpg,Type3,126.7088936401,35.9889673773,,20200423193716,2,"010-3673-8019, 010-7361-2202",게스트하우스여정,54021
충청남도 홍성군 결성면 홍남서로707번길 21-8,,34,,B02,B0201,B02011600,2570229,32,20181127201900,http://tong.visitkorea.or.kr/cms/resource/74/2568074_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/74/2568074_image2_1.JPG,Type3,126.5432499636,36.5287943496,,20221227141854,15,010-6512-6112,결성향교,32212
경기도 안산시 단원구 선감로 255,,31,,A03,A0302,A03020200,1896625,32,20140121192500,,,,126.6421114356,37.2151307268,6,20231117140937,15,032-886-6900,경기도청소년수련원,15651
전라북도 전주시 완산구 어진길 82-6,(경원동2가),37,,B02,B0201,B02011600,2609894,32,20190705232837,,,,127.1501865087,35.8174361942,,20220519170059,12,010-8835-6698,경기전 연가,55039
충청남도 보령시 머드로 78,,34,,B02,B0201,B02010900,1832257,32,20130731193147,,,,126.5143610218,36.3123076053,6,20221227151301,5,041-934-2773,경동모텔,33489
울산광역시 동구 녹수7길 58,(전하동),7,,B02,B0201,B02010900,1144607,32,20101210200505,http://tong.visitkorea.or.kr/cms/resource/53/2606153_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2606153_image2_1.JPG,Type3,129.4317771276,35.5151783876,3,20230413075215,3,052-233-2000,경원BIZ모텔[한국관광 품질인증/Korea Quality],44034
인천광역시 연수구 테크노파크로 200,,2,,B02,B0201,B02010100,2475088,32,20170112183133,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg,Type3,126.6378263887,37.3923573144,6,20221229113345,8,032-729-1101,경원재 앰배서더 인천,22004
경상북도 경주시 감포읍 감포로10길 40-11,,35,,B02,B0201,B02011600,2570570,32,20181128201406,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg,Type3,129.5008736523,35.8153264806,,20200423194611,2,010-7511-2688,경주 감포한옥펜션,38125
